사고객체,사고장소,사고장소특징,A진행방향,B진행방향,과실비율A,과실비율B,사고유형
,사거리교차로(신호등 없음),2개 차량이 나란히 통행 가능한 차로폭,후행 직진(차로 좌측),선행 좌회전(차로 우측),20,80,53
,사거리교차로(신호등 없음),2개 차량이 나란히 통행 가능한 차로폭,후행 직진(차로 우측),선행 우회전(차로 좌측),20,80,54
,사거리교차로(신호등 없음),좌/우회전 각도가 90도 미만,후행 직진,선행 좌회전,40,60,55
,사거리교차로(신호등 없음),좌/우회전 각도가 90도 미만,후행 직진,선행 우회전,40,60,56
,사거리교차로(신호등 없음),2개 차로 동시 우회전,우회전(오른쪽 차로),우회전(왼쪽 차로),30,70,57
,사거리교차로(신호등 없음),정차 후 출발 사고,정차 후 출발,추월,80,20,58
,사거리교차로(신호등 없음),긴급자동차 사고,대로에서 직진,소로에서 진입(긴급자동차),70,30,59
,사거리교차로(신호등 있음),상대 차량이 측면 방향에서 진입,[녹색신호] 직진,[적색신호] 직진,0,100,60
,사거리교차로(신호등 있음),상대 차량이 측면 방향에서 진입,"[녹색신호], 직진, [적색신호] 충돌",[녹색신호] 직진,30,70,61
,사거리교차로(신호등 있음),상대 차량이 측면 방향에서 진입,"[황색신호], 직진, [적색신호] 충돌",[녹색신호] 직진,80,20,62
,사거리교차로(신호등 있음),상대 차량이 측면 방향에서 진입,[황색신호] 직진,[적색신호] 직진,30,70,63
,사거리교차로(신호등 있음),상대 차량이 측면 방향에서 진입,[황색신호] 직진,[적색신호] 좌회진,30,70,64
,사거리교차로(신호등 있음),상대 차량이 측면 방향에서 진입,[적색신호] 직진,[적색신호] 직진,50,50,65
,사거리교차로(신호등 있음),상대 차량이 측면 방향에서 진입,[적색신호] 직진,[녹색 좌회전 신호] 좌회전,100,0,66
,사거리교차로(신호등 있음),상대 차량이 측면 방향에서 진입,[적색신호] 직진,[적색신호] 좌회전,50,50,67
,사거리교차로(신호등 있음),상대 차량이 측면 방향에서 진입,[적색신호] 직진,[황색신호] 좌회전,60,40,68
,사거리교차로(신호등 있음),상대 차량이 측면 방향에서 진입,"[녹색 좌회전 신호]좌회전, [적색신호] 충돌",[녹색신호] 직진,30,70,69
,사거리교차로(신호등 있음),상대 차량이 측면 방향에서 진입,"[황색신호] 좌회전, [적색신호] 충돌",[녹색신호] 직진,80,20,70
,사거리교차로(신호등 있음),상대 차량이 맞은편 방향에서 진입,(마주보며) [적색신호] 직진,(마주보며) [녹색좌회전신호] 좌회전,100,0,71
,사거리교차로(신호등 있음),상대 차량이 맞은편 방향에서 진입,(마주보며) [적색신호] 직진,(마주보며) [적색신호] 좌회전,50,50,72
,사거리교차로(신호등 있음),상대 차량이 맞은편 방향에서 진입,(마주보며) [녹색신호] 직진,(마주보며) [녹색신호] 좌회전(비보호좌회전 아님),0,100,73
,사거리교차로(신호등 있음),상대 차량이 맞은편 방향에서 진입,(마주보며) [황색신호] 직진,"(마주보며) [녹색신호] 좌회전, [황색신호] 충돌",40,60,74
,사거리교차로(신호등 있음),상대 차량이 맞은편 방향에서 진입,(마주보며) [황색신호] 직진,(마주보며) [황색신호] 좌회전,50,50,75
,사거리교차로(신호등 있음),상대 차량이 맞은편 방향에서 진입,"(마주보며) [녹색좌회전신호] 좌회전, [적색신호 충돌]",(마주보며) [녹색신호] 직진,30,70,76
,사거리교차로(신호등 있음),상대 차량이 맞은편 방향에서 진입,"(마주보며) [황색신호] 좌회전, [적색신호] 충돌",(마주보며) [녹색신호] 직진,80,20,77
,사거리교차로(신호등 있음),상대 차량이 맞은편 방향에서 진입,[녹색 좌회전 신호] 좌회전,맞은편 우회전,20,80,78
,사거리교차로(신호등 있음),비보호 좌회전 표지 있음,(마주보며) [녹색신호] 좌회전(비보호좌회전),(마주보며) [녹색신호] 직진,80,20,79
,사거리교차로(신호등 있음),신호등이 한쪽차량 방향에만 있음,[무신호] 직진,[적색신호] 직진,10,90,80
,사거리교차로(신호등 있음),신호등이 한쪽차량 방향에만 있음,[무신호] 직진,[녹색신호] 직진,80,20,81
,사거리교차로(신호등 있음),신호등이 한쪽차량 방향에만 있음,[무신호] 직진,[황색신호] 직진,40,60,82
,사거리교차로(신호등 있음),신호등이 한쪽차량 방향에만 있음,[무신호] 우회전,[적색신호] 직진,10,90,83
,사거리교차로(신호등 있음),신호등이 한쪽차량 방향에만 있음,[무신호] 우회전,[녹색신호] 직진,80,20,84
,사거리교차로(신호등 있음),신호등이 한쪽차량 방향에만 있음,[무신호] 우회전,[황색신호] 직진,40,60,85
,사거리교차로(신호등 있음),신호등이 한쪽차량 방향에만 있음,[무신호] 좌회전,[적색신호] 직진,20,80,86
,사거리교차로(신호등 있음),신호등이 한쪽차량 방향에만 있음,[무신호] 좌회전,[녹색신호] 직진,90,10,87
,사거리교차로(신호등 있음),신호등이 한쪽차량 방향에만 있음,[무신호] 좌회전,[황색신호] 직진,50,50,88
,사거리교차로(신호등 있음),교차로 내 진로변경,[녹색신호] 직진 (교차로 내 진로변경),우회전,30,70,89
,사거리교차로(신호등 있음),추월 사고,중앙선 침범 추월,[녹색 좌회전 신호] 좌회전,100,0,90
,사거리교차로(신호등 있음),유턴 구역,(마주보며) 직진,상시유턴구역에서 유턴,20,80,91
,사거리교차로(신호등 있음),유턴 구역,(마주보며) 직진,신호에 따른 유턴,100,0,92
,사거리교차로(신호등 있음),유턴 구역,우회전(좌측도로),상시유턴구역에서 유턴,30,70,93
,사거리교차로(신호등 있음),유턴 구역,우회전(좌측도로),신호에 따른 유턴,80,20,94
,사거리교차로(신호등 있음),유턴 구역,유턴(선행),급 유턴(후행),0,100,95
,사거리교차로(신호등 있음),유턴 구역,동시 유턴(선행),동시 유턴(후행),20,80,96
,사거리교차로(신호등 있음),정차 후 출발 사고,정차 후 출발,추월,80,20,97
,사거리교차로(신호등 있음),노면 표시 위반 사고,[녹색 좌회전 신호] 직진 (좌회전 노면표시차로),[녹색 좌회전 신호] 좌회전 (직진·좌회전 노면표시차로) ,100,0,98
,사거리교차로(신호등 있음),노면 표시 위반 사고,[녹색 직진·좌회전 신호] 후행 직진(좌회전 노면표시차로) ,[녹색 직진·좌회전 신호] 선행 좌회전 (직진·좌회전 노면표시차로) ,100,0,99
,사거리교차로(신호등 있음),노면 표시 위반 사고,직진(직진·좌회전 노면표시차로),좌회전 (직진 노면표시차로),0,100,100
,사거리교차로(신호등 있음),노면 표시 위반 사고,추월 우회전(직진 노면표시차로),직진(직진·우회전 노면표시차로),100,0,101
,사거리교차로(신호등 있음),노면 표시 위반 사고,선행 우회전(직진·우회전 노면표시차로),후행 직진(우회전 노면표시차로),0,100,102
,사거리교차로(신호등 있음),긴급자동차 사고,[녹색신호] 직진,[적색신호] 직진 (긴급자동차),60,40,103
,사거리교차로(신호등 있음),긴급자동차 사고,[녹색 좌회전 신호] 좌회전,중앙선 왼쪽 통행(긴급자동차) ,60,40,104
,사거리교차로(신호등 있음),긴급자동차 사고,유턴,중앙선 왼쪽 통행(긴급자동차) ,60,40,105
,T자형 교차로,동일폭 도로,직진,우회전,30,70,106
,T자형 교차로,동일폭 도로,왼쪽 도로에서 직진,오른쪽 도로에서 좌회전,30,70,107
,T자형 교차로,동일폭 도로,오른쪽 도로에서 직진,왼쪽 도로에서 좌회전,20,80,108
,T자형 교차로,동일폭 도로,오른쪽 도로에서 좌회전,왼쪽 도로에서 좌회전,40,60,109
,T자형 교차로,대로와 소로,대로에서 직진,소로에서 좌회전,10,90,110
,T자형 교차로,대로와 소로,대로에서 직진,소로에서 우회전,20,80,111
,T자형 교차로,대로와 소로,소로에서 직진[좌측도로],대로에서 좌회전[우측도로],40,60,112
,T자형 교차로,대로와 소로,소로에서 직진[우측도로],대로에서 좌회전[좌측도로],35,65,113
,T자형 교차로,대로와 소로,소로에서 좌회전,대로에서 좌회전,70,30,114
,T자형 교차로,대로와 소로,소로에서 직진,대로에서 우회전,60,40,115
,T자형 교차로,대로와 소로,대로에서 좌회전,소로에서 좌회전,30,70,116
,T자형 교차로,일시정지 표지가 한쪽방향에만 있음,표지가 없는 도로에서 직진,일시정지 위반 좌회전,10,90,117
,T자형 교차로,일시정지 표지가 한쪽방향에만 있음,표지가 없는 도로에서 직진,일시정지 위반 우회전,10,90,118
,T자형 교차로,일시정지 표지가 한쪽방향에만 있음,일시정지 위반 직진[좌측도로],표지가 없는 도로에서 좌회전[우측도로],60,40,119
,T자형 교차로,일시정지 표지가 한쪽방향에만 있음,일시정지 위반 직진[우측도로],표지가 없는 도로에서 좌회전[좌회전],50,50,120
,T자형 교차로,일시정지 표지가 한쪽방향에만 있음,일시정지 위반 직진,표지가 없는 도로에서 우회전,70,30,121
,T자형 교차로,일시정지 표지가 한쪽방향에만 있음,일시정지 위반 좌회전,표지가 없는 도로에서 좌회전,80,20,122
,차도와 차도가 아닌 장소,차도가 아닌 장소에서 차도로 진입,차도에서 직진,차도가 아닌 장소에서 중앙선 침범 진입,0,100,123
,차도와 차도가 아닌 장소,차도가 아닌 장소에서 차도로 진입,차도에서 직진,차도가 아닌 장소에서 우회전 진입,20,80,124
,차도와 차도가 아닌 장소,차도에서 차도가 아닌 장소로 진입,차도에서 직진,차도가 아닌 장소로 중앙선 침범 진입,0,100,125
,주차장(또는 차도가 아닌 장소),주차구역과 통로,통로 직진,주차구역에서 직진 출자,30,70,126
,주차장(또는 차도가 아닌 장소),주차구역과 통로,통로 직진,주차구역에서 후진 출자,25,75,127
,회전교차로,회전차로 1차로형,회전교차로 진입,교차로 내 회전,80,20,128
,회전교차로,회전차로 2차로형,회전(회전 2차로),진로변경(회전1차로→회전2차로),40,60,129
,회전교차로,회전차로 2차로형,회전교차로 진입(1차로→회전2차로),회전교차로 진입(2차로→회전2차로),60,40,130
,회전교차로,회전차로 2차로형,회전(회전 1차로),회전교차로 대진입,10,90,131
,회전교차로,회전차로 2차로형,진로변경(회전1차로→회전2차로),회전교차로 진입,30,70,132
